blocks m gputime
42 200 47958.078125
42 300 73008.578125
42 400 96558.71875
4 300 17212.228515625
43 100 29256.537109375
43 10 3141.877685546875
43 1 500.3341064453125
43 200 56884.41015625
43 300 88438.1328125
43 400 112644.5546875
4 400 23126.45703125
44 100 29518.712890625
44 10 3154.505126953125
44 1 521.828857421875
44 200 57847.66015625
44 300 87250.2421875
44 400 114232.0703125
45 100 28884.04296875
45 10 3084.9189453125
45 1 521.53009033203125
45 200 57902.2109375
45 300 87461.0625
45 400 115432.9375
46 100 28696.0390625
46 10 3083.229248046875
46 1 516.7720947265625
46 200 59725.578125
46 300 86697.4609375
46 400 113605.1171875
47 100 29430.880859375
47 10 3204.6796875
47 1 538.4554443359375
47 200 58847.96484375
47 300 89190.5859375
47 400 116708.1796875
48 100 29834.3359375
48 10 3210.7705078125
48 1 515.28460693359375
48 200 58861.1640625
48 300 88269.1640625
48 400 116134.59375
49 100 29361.146484375
49 10 3334.115478515625
49 1 543.20263671875
49 200 58579.78515625
49 300 90404.5546875
49 400 118256.5859375
50 100 29503.828125
50 10 3359.189453125
50 1 540.64990234375
50 200 59023.0546875
50 300 89115.1484375
50 400 117121.7265625
5 100 5917.69140625
5 10 624.97528076171875
51 100 29480.138671875
51 10 3281.14453125
51 1 540.339111328125
51 200 60225.48046875
51 300 89530.0546875
51 400 119941.078125
5 1 85.25484466552734375
5 200 11797.0048828125
52 100 29624.77734375
52 10 3271.5078125
52 1 548.92376708984375
52 200 60265.87109375
52 300 89874.9921875
52 400 118444.7109375
5 300 17597.013671875
53 100 31039.455078125
53 10 3256.155517578125
53 1 559.10003662109375
53 200 61278.37890625
53 300 90957.4296875
53 400 120303.9453125
5 400 22926.458984375
54 100 31008.759765625
54 10 3381.568115234375
54 1 569.5015869140625
54 200 61561.95703125
54 300 92530.25
54 400 123975.015625
55 100 31568.6796875
55 10 3406.4365234375
55 1 581.9359130859375
55 200 62109.625
55 300 92646.484375
55 400 125076.4453125
56 100 32021.037109375
56 10 3493.6591796875
56 1 595.5484619140625
56 200 62378.75
56 300 97284.3828125
56 400 131523.453125
57 100 36414.40625
57 10 3916.90869140625
57 1 652.32305908203125
57 200 72516.5546875
57 300 107194.6796875
57 400 145361.640625
58 100 35999.29296875
58 10 3924.97314453125
58 1 649.25244140625
58 200 74164.0859375
58 300 108891.734375
58 400 144143.5625
59 100 36543.9140625
59 10 3885.76806640625
59 1 647.66925048828125
59 200 73460.40625
59 300 108413.03125
59 400 149585.671875
60 100 36700.859375
60 10 3915.97021484375
60 1 663.549560546875
60 200 73250.5390625
60 300 110154.71875
60 400 144588.71875
6 100 6054.0166015625
6 10 628.5147705078125
61 100 36369.3671875
61 10 4033.439453125
61 1 658.9847412109375
61 200 72815.1796875
61 300 110854.234375
61 400 147012.125
6 1 86.76857757568359375
6 200 12031.630859375
62 100 36737.7890625
62 10 3999.689697265625
62 1 655.437744140625
62 200 74307.78125
62 300 110394.9921875
62 400 146166.421875
6 300 18047.935546875
63 100 37280.6171875
63 10 4020.190673828125
63 1 694.7188720703125
63 200 74518.2890625
63 300 110933.375
63 400 149610.59375
6 400 23714.1640625
64 100 38091.45703125
64 10 4115.39453125
64 1 679.39019775390625
64 200 75591.71875
64 300 113158.9453125
64 400 149840.78125
65 100 37621.50390625
65 10 4189.2041015625
65 1 700.1771240234375
65 200 75216.4296875
65 300 113743.921875
65 400 153197.5
66 100 38582.19921875
66 10 4252.1015625
66 1 709.37786865234375
66 200 76831.328125
66 300 114506.796875
66 400 152425.609375
67 100 38207.125
67 10 4225.03076171875
67 1 710.3228759765625
67 200 76676.2265625
67 300 114686.8515625
